timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
,,,,,,,
16-06-2021 23:54,"b'""According to a press release, Newsom announced a $5 billion investment in after-school learning programs for students in grades K-5, with $1 billion a year to be distributed over the next five years."" #EdChat  Read the full article here: https://t.co/B9H4SS4Oab'",b'PresidioComms',['EdChat'],"Anaheim, CA",79,0,0
,,,,,,,
16-06-2021 23:49,b'https://t.co/HwgdZugxEB   A plethora of free resources #edtech #edchat https://t.co/Rc7fP5cMe7',b'eduappsandmore',"['edtech', 'edchat']","Oxford, MS",1788,0,0
,,,,,,,
16-06-2021 23:41,"b'Looking forward to sharing some insights on the ""Big Ideas in #Maths #Education"" next week in #Sydney with @epforlearning  Sign up to join me. https://t.co/zJ7qj4l4aU #EdChat #Mathsed #aussieed https://t.co/eCe6KToyGN'",b'Allan_Dougan',"['Maths', 'Education', 'Sydney', 'EdChat', 'Mathsed', 'aussieed']",Canberra,267,0,1
,,,,,,,
16-06-2021 23:32,"b""If you're a PD coordinator/leader:  Imagine you have a central place to post workshops, take signups, and get collate data about those events.    What kind of reports/data/dashboard info would you want?  #edchat #edtech""",b'bennettscience',"['edchat', 'edtech']","Michigan, United States",5990,0,0
,,,,,,,
16-06-2021 23:30,"b'Putting #Students, Not Screens, at the Center of Post-Pandemic Learning https://t.co/15GIyOwRiY via @EducationNext #studentcentered #screentime #edchat'",b'Eduporium',"['Students', 'studentcentered', 'screentime', 'edchat']","Newton, MA",56589,1,0
,,,,,,,
16-06-2021 23:17,b'These were rejected designs for the Eiffel Tower. Often there can be great beauty in failure. #edutwitter #architecture #edchat #STEM https://t.co/5PhkPJ3b9g',b'education_geek',"['edutwitter', 'architecture', 'edchat', 'STEM']",,8307,1,2
,,,,,,,
16-06-2021 23:14,"b'With a week left, I played Sister Sledge today for Ss in @CitoyensdeGlobe as they popped onto class &amp; I teared up. Honestly the emotional rollercoaster this year has brought is beyond words. @smgaillard - thank goodness for music right?  #onted #edchat https://t.co/U9XB50FY51'",b'allison_fuisz',"['onted', 'edchat']",Unceded Algonquin Territory,5627,0,7
,,,,,,,
16-06-2021 23:07,"b'What you do makes a difference, and you have to decide what kind of difference you want to make."" - Jane Goodall #EdChat #SusanColton https://t.co/JZHU8dukY5'",b'SusanColton2',"['EdChat', 'SusanColton']",,5700,3,15
,,,,,,,
16-06-2021 23:05,"b'How do we grab our kids, \xe2\x80\x9chold them close\xe2\x80\x9d, and challenge them at their learning edge? And yes - now more than ever! So thankful for such an inspiring couple of days with these teachers and learning leaders \xf0\x9f\x92\x95#edchat #cpchat #notmoreofthesame https://t.co/HifSKezarD'",b'sewilkie',"['edchat', 'cpchat', 'notmoreofthesame']","Beverly Hills, MI",2518,0,1
,,,,,,,
16-06-2021 23:03,b'Differentiating in the Personalized Classroom https://t.co/WuqMUG6sCw #edchat #edutwitter #personalizedlearning https://t.co/qEX5t0TSXm',b'E_Sheninger',"['edchat', 'edutwitter', 'personalizedlearning']","Cypress, TX",154145,4,26
,,,,,,,
16-06-2021 23:03,b'\xe2\x9c\xa8Universe discussion \xe2\x9c\xa8  Does Taking Risks Help You Figure Out Who You Are? &gt;&gt;&gt; https://t.co/DllyaMUuQd Created by Russell Smith . #risk #reflection #studentdiscourse #teacherresources #teachertwitter #edchat https://t.co/YdNHSN081k',b'parlayideas',"['risk', 'reflection', 'studentdiscourse', 'teacherresources', 'teachertwitter', 'edchat']","Toronto, Ontario",2366,0,0
,,,,,,,
16-06-2021 23:03,b'Teachers: Are students really learning anything with technology? Ease frustration today with a 2 hr workshop teaching proven strategies to get kids to communicate their learning using tech! Learn more: https://t.co/aRK04gRybj @techcoachjuarez #edtech #edchat #teaching #tlap https://t.co/Sx9axtSv9q',b'kat_goyette',"['edtech', 'edchat', 'teaching', 'tlap']","Sanger, CA",12066,0,0
,,,,,,,
16-06-2021 23:02,"b'\xe2\x80\x9cJuneteenth marks our country\xe2\x80\x99s second independence day.\xe2\x80\x9d Discover new ways to explore its history and legacy with your Ss: https://t.co/8HwOpa1Z0g  (Resources via @CenterBlackEd, @learnforjustice, @NMAAHC and @ASCD)  #Juneteenth #ChampForKids #tlap #EdChat'",b'teacher2teacher',"['Juneteenth', 'ChampForKids', 'tlap', 'EdChat']",,200005,8,15
,,,,,,,
16-06-2021 23:01,b'For EdTech companies who try to connect with school administrators and educators https://t.co/zc0AiZwNSy #ntchat #edchat #educhat #cpchat https://t.co/e2qCmsPzWW',b'K12Prospects',"['ntchat', 'edchat', 'educhat', 'cpchat']","Tampa, FL",1813,0,0
,,,,,,,
16-06-2021 23:01,b'Looking for some chats tonight?  Join#ARVRinedu at 9 ET and then at 9:30 stop by #CelebratED  and #txed Join in! #future4edu @thriveinEDU #education #edchat #k12',b'Rdene915',"['CelebratED', 'txed', 'future4edu', 'education', 'edchat', 'k12']",Pittsburgh,29306,0,0
,,,,,,,
16-06-2021 23:00,"b'Our next #edchat #twitterchat from @TeachersFirst,  Strategies for Tough Topics in the Classroom, is TOMORROW on 6/17 at 8 PM EDT.  \xf0\x9f\x91\x89  Use hashtags #OK2Ask and #TeachersFirst to join our chat hosted by @BowerKM.  #edtechchat  #edtech #teachertwitter  #summerpd https://t.co/gqy8AlgtcI'",b'SFLOK2Ask',"['edchat', 'twitterchat', 'OK2Ask', 'TeachersFirst', 'edtechchat', 'edtech', 'teachertwitter', 'summerpd']","Reston, VA",991,1,1
,,,,,,,
16-06-2021 23:00,"b'Join me for the next @SFLOK2Ask #edchat #twitterchat from @TeachersFirst,  Strategies for Tough Topics in the Classroom, TOMORROW on 6/17 at 8 PM EDT.  \xf0\x9f\x91\x89  Use hashtags #OK2Ask and #TeachersFirst to join us.  #edtechchat  #edtech #teachertwitter  #summerpd https://t.co/bHPhbabGTd'",b'BowerKM',"['edchat', 'twitterchat', 'OK2Ask', 'TeachersFirst', 'edtechchat', 'edtech', 'teachertwitter', 'summerpd']",,794,0,1
,,,,,,,
16-06-2021 22:58,"b""On top of this, teachers are going to be asked to step up (again) for the '21-'22 school year. As @jimknight99 has said, we need to extend grace to teachers and all who support them. Beyond that, instructional coaching and mentoring will be critical. #suptchat #educoach #edchat https://t.co/65tC1fQ2em""",b'DRescigno',"['suptchat', 'educoach', 'edchat']","Chicago, IL",1641,0,0
,,,,,,,
16-06-2021 22:55,b'Thank you @Mets for honoring educators at tonight\xe2\x80\x99s game! So proud to applaud for the amazing educators you spotlighted! #edchat #HackingLeadership https://t.co/xjJYZBk7w2',b'TonySinanis',"['edchat', 'HackingLeadership']",NY,36316,0,26
,,,,,,,
16-06-2021 22:55,"b""You may have heard your students or children talking about Discord, but what exactly is it? Find all you need to know with Vestal's 21st Century Classroom.   https://t.co/WMu7PVIiW9  #EdTech #DistanceLearning #Discord #EdChat""",b'AquilaEducation',"['EdTech', 'DistanceLearning', 'Discord', 'EdChat']",,699,1,0
,,,,,,,
16-06-2021 22:51,b'The Ron Clark Academy- Does it live up to the hype? #edtech #edchat https://t.co/LyAbo05wLL',b'eduappsandmore',"['edtech', 'edchat']","Oxford, MS",1788,0,0
,,,,,,,
16-06-2021 22:50,"b""Help children develop a love of reading &amp; learning, no matter their ability level, with @CapstonePub's Pebble Go! Get it here: https://t.co/Ve6q4ZEWDy #engagechat #literacy #reading #eduation #edchat #teaching #crowdfunding""",b'PledgeCents',"['engagechat', 'literacy', 'reading', 'eduation', 'edchat', 'teaching', 'crowdfunding']",USA,4652,0,0
,,,,,,,
