timestamp,tweet_text,dimension_label
,,
27-05-2021 23:56,"I am thrilled to present at #ECGlobal 2021! Join me! July 23-24, 2021 12pm-12pm central REGISTER TO ATTEND APPLY TO PRESENT SPONSOR TO PROMOTE YOURSELF/YOUR COMPANY #EdChat #classroom #Edu #Education #Educhat #teacher #teachers #PD",2
,,
27-05-2021 23:53,Which fictional teacher most closely reflects your teaching style? #edchat #teachertwitter,0
,,
27-05-2021 23:53,We are so excited to share that the documentary film #RiverOfGold received the Shift Your World Film Festival's Audience Choice Award! Check out our FREE curriculum guide for this Award-Winning Film #teachwithfilm #environmental #edchat,2
,,
27-05-2021 23:49,50 Things You Can Do With Google Classroom by Alice Keeler and Libbi Miller #edtech #edchat,1
,,
27-05-2021 23:48,For all my list-making friends...I hear it even crosses it out when you check the box!! #planning #edchat,1
,,
27-05-2021 23:46,"Taking advantage of this opportunity isn't easy. School districts must understand how to best negotiate the carbon market, and they must accrue enough credits to attract buyers. #EdChat",0
,,
27-05-2021 23:44,"classcraftgame provides powerful tools to streamlining classroom management, engage with students in a live setting, and to gamifying existing curriculum! #edtech #edchat #gamify #GBL #games4ed #education",2
,,
27-05-2021 23:39,"Retrieval Tic Tac Toe: A no stakes, no anxiety game for retrieval practice #powerfulteaching #edchat #highered",0
,,
27-05-2021 23:39,"Update: #EdAssessChat is going on summer break. The Twitter Chat will be back with new topics and fun conversations starting on August 3rd, 2021. Stay tuned for more exciting details!  #edchat #twitterchat #education",2
,,
27-05-2021 23:34,Don't miss the chance to read incredible articles in the winter edition of #PrincipalConnections; the theme for this issue is Seeking Positive Solutions. CPCO Practising Associates can log in to view or download for free: #Read #Winter #Education #EdChat,1
,,
27-05-2021 23:30,"What's the difference between neuroscience, cognitive science, and AI?  That question and more answered by @hezjbranch #scicomm #scichat #edchat",0
,,
27-05-2021 23:30,#whatisschool. My students and I are reading @harari_yuval and coming to whatsapp chats prepped for deep discussions on #21stcenturyskills #amreading #books #edchat #bookdiscussions #creativeedu #readingcommunity,1
,,
27-05-2021 23:30,How do you ensure that scaffolding is effective for all students? Watch this awesome video written and narrated by the amazing @ryansprott and illustrated somewhat decently by yours truly! #edchat #pblchat @PBLWorks,0
,,
27-05-2021 23:30,"Formal education will make you a living, self-education will make you a fortune.  #edChat #STEM Inspire Them",0
,,
27-05-2021 23:30,Here's a short #VoiceThread explainer video that you can share with your colleagues! #edchat  #edtech,1
,,
27-05-2021 23:25,"Register for the Youth Summit, which will elevate #student perspectives in an effort to foster inclusive, humanizing and critical learning environments for all members of our school communities #EdChat #EdEquity #YouthVoice",2
,,
27-05-2021 23:23,"A Google search of cteaching strategies produces over 23,000,000 results. That is a lot of options. Increase your over impact through the use of High Yield Instructional Strategies. #edchat #teachers #students #schools #leadership",0
,,
27-05-2021 23:20,Plus the world of books ... my students and I are reading @harari_yuval and coming to whatsapp chats prepped for deep discussions on #21stcenturyskills #amreading #books #edchat #bookdiscussions #creativeedu #Reading,1
,,
27-05-2021 23:20,"In alignment with our first key recommendation, the AIR Pipeline at @GreenDotSchools instills a commitment to equitable practices and the opportunity to implement them in a real-world setting. #edequity #edleadership #edchat #charterschools",0
,,
27-05-2021 23:15,"This week's episode of the @edtech_podcast is now live, feat. @FiMorrison2, @askMsQ, @flubaroo, @davidleeedtech, @mural, @stemedmagazine, @Seesaw, @playcraftlearn and so much more. Listen on your podcast channel of choice &amp; at https://t.co/8e9Vb6154E #edtech #edchat #whatisschool https://t.co/oI0Imr4lkh""",2
,,
27-05-2021 23:15,Can summer programs recover learning loss? #edchat #K12,0
,,
27-05-2021 23:14,Check out the latest from @DA_Magazine #education #edchat #edtech #edleaders #k12 #suptchat #schools @thriveinedu,2
,,
27-05-2021 23:13,Sign-ups have begun! What do YOU want to discuss?  #STEM #edchat #edutwitter #STEMeducation,1
,,
27-05-2021 23:05,"#Innovation Engines and Emerging #Research with guests, Dr. Tony Tether, Former Director of @DARPA, and Dr. David Bishop, Head of the Division of #MaterialsScience &amp #Engineering @BU_Tweets #sciencetwitter #edchat",0
,,
27-05-2021 23:03,Universe discussion Should Kids Still Learn to Tell Time? - NYT Student Opinion of the Week #time #NYT #NYTopinion #studentdiscourse #teacherresources #teachertwitter #edchat,0
,,
27-05-2021 23:01,Does college planning have you spinning? Give your student a ahead start this summer! #collegeplanning #collegeadmission #collegeprep #Highschool #edchat,0
,,
27-05-2021 23:00,"Some ideas for finding #math all around us - outdoor learning, outdoor education, etc. A short two-minute video that can support meaningful experiences for students. Math is found in more than a textbook  #edchat #hrcemath #onted #elemmathchat #education",0
,,
27-05-2021 23:00,"jackdaskew has a lot of knowledge about teaching online, and this post brings some of his most popular resources together (including setting up group lessons) #teachonline #edtech #edchat #esl #tefl",1
,,
27-05-2021 23:00,"Learn More and Submit an RFP. There will be a virtual option, too! #NYSCATE #NYSCATE21 #EDCHAT #EDTECH #BETTERTOGETHER",2
,,
27-05-2021 23:00,Create games like this for FREE and set them to your #students #edchat #edtech #HomeSchool #homeschooling #Edinburgh #teaching #education #free #socialenterprise,1
,,
27-05-2021 22:54,New Post: Loneliness Revisited  #edchat #kinderchat #g2great #owlsofnite #AwesomePLN #2Pencilchat,0
,,
27-05-2021 22:53,Learn to #code #python on YouTube with @olexaYT Using @Pycharm #edtech #edchat,1
,,
27-05-2021 22:48,Students love our fun daily math challenges. Can your kids solve them? Access all 17 #edchat #MerryChristmas from #Venezuela,0
,,
27-05-2021 22:46,Register now for the Summer Webinar Series with Guest Host @VirtualGiff! #edtech #edchat #TCEA #ISTE21 #blendedlearning #podcasting #flipgridforall #sketchnotes #dynamiclearning https://t.co/I3JqENC8Js',2
,,
27-05-2021 22:41,NEW BLOG - What can teachers learn from the ways that park rangers address contraversial topics? #edchat #sschat #history #FindYourPark #elemchat #education #pblchat Thanks @DesoNM1539 for your help with this piece @NatlParkService,0
,,
27-05-2021 22:36,#ptech #weareptech @PathwaysInTech @PTECHNETWORK @rashidfdavis #150albanyavenue #brooklyn #newyork Zip Code 11213 #thursdayvibes #thursdaymorning #ThankfulThursday #innovation #edchat #edtech,2
,,
27-05-2021 22:33,On the day a teacher sent racist messages to @MarcusRashford this poll takes on new relevance #edutwitter #edchat #schools #SLTchat,1
,,
27-05-2021 22:32,Preorder your copy of Our newest pub! You won't want to miss it from my dear friend @Original_MrsP ! @RigorRelevance is excited to offer this powerful resource to leaders and teachers alike. #edchat #satchat #suptchat #leadupchat #VAESPChat,1
,,
27-05-2021 22:30,"Now that we have devices for our students thanks to the pandemic, can we please move beyond digital worksheets? #edtech #edchat #edcolo #suptchat #edadmin #k12 #coronalearn #coronaedu #deeperlearning #futureready #studentagency #stuvoice #4shifts",1
,,
27-05-2021 22:28,"As Memorial Day approaches on Monday, students can pay homage to the men and women who served in the military by learning more about the U.S. @icivics is a great game that inspires civic engagement so students are enthusiastic about government! #gamification #edchat #MemorialDay",0
,,
27-05-2021 22:27,"It was a pleasure presenting to the Michigan chapter of the Association for Learning Environments today about #UDL as a path toward diversity, equity, and inclusion with my amazing co-presenters @shardin22 and @DLReid05! #edchat #flexibleseating",2
,,
27-05-2021 22:19,Have you checked out the Adobe Creative Educator program? It is a FREE course that takes only 1 hour to complete - and receive your level 1 badge - giving access to the #AdobeEduCreative community #edchat,1
,,
27-05-2021 22:19,"Spotlight on: Vivett Dukes, one of our amazing #ReadingApprenticeship facilitators and an invaluable part of our team! @vivettdukes @WestEd #literacyforall #blackexcellence #edchat #edleaders",2
,,
27-05-2021 22:19,Check out my YouTube channel. I have short videos that can be shared with staff and families.  #edchat #math #mathchat #mtbos #iteachmath #elemmathchat,2
,,
27-05-2021 22:15,"When it comes to hiring, it's important for #schoolleaders to challenge their own biases &amp; consider #diversity when looking for new teachers. Learn how to diversify your faculty using strategies in our new resource #edchat #teacherlife",0
,,
27-05-2021 22:14,"Looking for input on a course project - Student engagement has been a struggle during the pandemic what tools, techniques have worked outside of seeing faces to increase engagement in the classroom? #edtech #edchat #elearning",0
,,
27-05-2021 22:13,"Looking for input on a course project if you were creating a visual resource for educators what format (image, website, PDF) would you use for ease of use and sharing? #edtech #edchat #elearning",0
,,
27-05-2021 22:11,"Assessment Reliability, Validity and Fairness explained in simple terms. #edchat #edtechchat #education #edutwitter",0
,,
27-05-2021 22:11,IDEA: The Best Google Slides Templates for Teachers. #edtech #edchat #elemchat #2ndchat #4thchat #5thchat #middlechat #mschat #6thchat #7thchat #8thchat #hschat #teachertools,0
,,
27-05-2021 22:07,"Looking for course project input - Online learning calls for thinking outside the box in enhancing teacher presence what tools, techniques have worked for you during the pandemic? #edtech #edchat #elearning",0
,,
27-05-2021 22:05,Students love our fun daily math challenges. Can your kids solve them? Access all 17 &amp #edchat,1
,,
27-05-2021 22:03,"Writing to Learn Strategies, like Summary Point Writing or Quick Writes, are adaptable to every content area and grade level, which is one of the many reasons why they are so beneficial for supporting #student learning #withLF #teachers #edchat",0
,,
27-05-2021 22:00,"We are always happy to support an #edcamp or other education event. If you're looking for sponsors, let us know by sending us an email at info@classroomq.com. #edchat #edtech https://t.co/yOSYv7EGOU""",1
,,
27-05-2021 22:00,Need a fast lockdown math solution? check out #Numberella escape rooms! #behaviour #edchat #eal #fun #homeschooling2021 #k12 #learn #math #rolloff #STEM #student #thursdayvibes #word @KristenMAcosta,2
,,
27-05-2021 22:00,WE WANT YOU TO PRESENT AT SUMMER SPLASH! You deserve it. Submit your proposal before June 9th! (TWO WEEKS) #AIMSNetwork #edchat #masterychat,1
,,
27-05-2021 22:00,Treat yourself to a summer of learning with this book study experience with @RossCoops31 and @MurphysMusings5  #edtech #edchat #PBL #nyscate,2
,,
27-05-2021 22:00,"Stay strong, Victorian teachers! Our online live workshops are here to help you through. They're an engaging way to help your #students catch up &amp; renew their positivity.  #onlinelearning #teaching #edchat #onlineclassroom #lockdown",0
,,
27-05-2021 22:00,We're inviting you to the #T4G4AfterDark edchat! Tune in Thursday @ 8:30 PM! Questions will come from the @T4G4_ handle! Be sure to include #T4G4AfterDark in your tweets so we can collaborate and connect!,1
,,
27-05-2021 21:58,"Exactly, Laura! So great! Teaching for transfer powerful. Thinking upper level Bloom. Particularly Synthesis- design, create, construct, perform, etc. @soubai_aziz @cvarsalona @CMSPrincipal1 @PrincipalTam @jeffreykubiak @DMS_LeadLearner @UnlockTheMiddle #edchat @ShiftParadigm https://t.co/Baz1jA029Y'",1
,,
27-05-2021 21:56,MathGo is now offering courses in reading! Hurry and check us out. Not sure what level is for you? Set an appointment up with us and let us help you out. #edchat #mathgo #michigan #tutor,1
,,
27-05-2021 21:55,Treat your students to a class centred around #Numberella Escape Rooms. #classroom #connect #Curriculum #edchat #edutwitter #giving #iteachmath #k12 #maths #motivation #professional  #rolloff #STEM #thursdaythoughts #word @mavenofmath,2
,,
27-05-2021 21:54,"When I recall the history of mankind, it is completely absurd that we claim to live in the year 2021. Our time calculation is a construct. We should become aware of this every now and then. #edchat #satchat #edchatie #aussieED",0
,,
27-05-2021 21:52,We're thrilled to be livestreaming the Los Nietos School District's 2021 Promotions this week! What a wonderful way to ensure that families have access to ceremonies even if they can't attend in person this year. #PresidioComms #EdChat #Classof2021,2
,,
27-05-2021 21:50,"Great questions, even greater fun! Try a #Numberella Escape Room end to the week. #edchat #eal #fun #homeschooling2021 #k12 #math #mathschat #parentingtips #STEM #teachingtips #thursdaymorning @MutchmorMath",2
,,
27-05-2021 21:49,#edchat #nyedchat upstate folks pay attention pls,1
,,
27-05-2021 21:49,Sometimes it hard for our Ss to understand what it means that our writing should reflect our voice. Our voice can help others engage and even start/build relationships; it shows who you are. I had a pretty big smile over this one. #teachers #edchat #educoach #iledchat,0
,,
27-05-2021 21:46,You may find that students have forgotten how to study and function on a structured school-day schedule.,0
,,
27-05-2021 21:45,yes! teachmama's must-reads is out! #edchat #parenting,1
,,
27-05-2021 21:40,Looking for a fast lesson plan? #Numberella Escape room can help. #classroom #edchat #eal #fun #growthmindset #homeschooling2021 #hype #k12 #luck #parentingtips #STEM #teachingtips #thursdayvibes @csarahj,2
,,
27-05-2021 21:39,"Part of a growing field known as Mind, Brain and Education (MBE), researchers can now use portable EEG devices to measure brainwaves in classroom experiments. Can research like this yield insights that can help teachers do their jobs better? #EdChat",0
,,
27-05-2021 21:35,One of the best ways out there to engage students is a free #Numberella escape room! #dyslexia #edchat #edutwitter #escaperooms #gamification #k12 #learnathome #maths #STEM #teachingtips #teachathome #thursdaythoughts @iisanumber,0
,,
27-05-2021 21:34,"TCEA: With structured discussions, educators can share wisdom gained in a turbulent year and be better prepared for the coming one. @edutopia #edchat #learning #teaching",0
,,
27-05-2021 21:22,"My grade 7's made a survey today and we would like to use the results to create an accurate circle graph tomorrow. If you have a minute, could you fill out the easiest survey you've ever seen? #edchat #saskedchat #mathschat",1
,,
27-05-2021 21:20,"With structured discussions, educators can share wisdom gained in a turbulent year and be better prepared for the coming one. @edutopia #edchat #learning #teaching",0
,,
27-05-2021 21:18,Another great @boxlightinc webinar coming up! Register below #STEMed #edtech #STEM #STEMeducation #edchat #teachertwitter,2
,,
27-05-2021 21:16,Just published research on asking better questions to help students understand how science works. #NOS #scichat #edchat,0
,,
27-05-2021 21:16,"Love these student portfolios by middle school students. It's a great form of assessment that helps others learn, too! Amazing work again from @LLacrosse #edchat #scienceed #medialiteracy #appleeduchat",2
,,
27-05-2021 21:13,3 SEL Practices Teachers Can Use Every Day  via @LainieRowell #education #edchat #SEL #k12 @thriveinedu,0
,,
27-05-2021 21:08,Voice/#singing teachers! Check out our paper on motor learning behaviours used by teachers in 1-1 lessons. Tweet or DM questions! @Cate_Madill @tricmc #musiceducation #voice #teachertwitter #edchat @sydneycon @QldCon_Griffith @EdithCowanUni @UniMelb,1
,,
27-05-2021 21:06,Meet the Shake Up Learning Team! Blended Learning training for your school or event. ALL Google Certified Trainers. Summer and BTS dates available now! #edtech #edchat,2
,,
27-05-2021 21:04,"SpacesEDU is an easy-to-use digital portfolio that enables anytime, anywhere learning. #SpacesEDU #EdChat #DigitalPortfolios #K12 #TechCoachEDU #EDU #K12Classrooms",0
,,
27-05-2021 21:02,"Today, just a year and a half since the embattled college opened its doors to students, [former California Gov. Jerry] Brown is its chief defender #EdChat #HigherEd",0
,,
27-05-2021 21:02,The Robots Are Here to Stay: How Automation is Affecting Global Business #Robots #GlobalBusiness #B2B #Businessess #Robotics #STEM #EdTech #Edchat #Technology #Innovation #Automation #MachineLearning #Companies,0
,,
27-05-2021 21:01,Check out the playlist of the @Buncee #coffeetalk Great conversations about education! #edchat #digcit #STEAM #SEL #globaled #educhat #k12 #buncee #hybridlearning #educoach #elemchat,2
,,
27-05-2021 21:00,"You asked, we listened...  #FETC is EXTENDING the deadline for the request for proposals to speak @FETC 2022 until June 30th!  Submit your #edtech proposal to speak w/ #administrators #educators #ETcoaches #LibMS #Sped #IT #CIOs #edutwitter #edchat",1
,,
27-05-2021 20:59,One frequently used instructional planning that considers issues such as student work of the difference in relation to academic or vocational schools. #edchat,0
,,
